vertices_number,edges_number,used_edges_number
10,average,315
10,average,39
10,average,297
10,average,180
10,average,0
10,average,534
10,average,160
10,average,82
10,average,367
10,average,195
10,small,66
10,small,321
10,small,138
10,small,67
10,small,559
10,small,0
10,small,0
10,small,462
10,small,108
10,small,111
10,big,0
10,big,206
10,big,83
10,big,402
10,big,244
10,big,0
10,big,445
10,big,129
10,big,22
10,big,465
20,average,3096
20,average,465
20,average,4266
20,average,3199
20,average,792
20,average,6241
20,average,1572
20,average,637
20,average,5907
20,average,2430
20,small,1365
20,small,4935
20,small,2267
20,small,1215
20,small,5656
20,small,2304
20,small,561
20,small,5428
20,small,2737
20,small,617
20,big,4323
20,big,2077
20,big,282
20,big,4290
20,big,1338
20,big,783
20,big,6975
20,big,850
20,big,555
20,big,5332
30,average,8797
30,average,1695
30,average,22005
30,average,14941
30,average,3514
30,average,17388
30,average,10582
30,average,3379
30,average,20677
30,average,12636
30,small,5624
30,small,22340
30,small,6800
30,small,4260
30,small,24596
30,small,14530
30,small,4734
30,small,23534
30,small,8474
30,small,3150
30,big,18383
30,big,13418
30,big,0
30,big,22419
30,big,9857
30,big,5567
30,big,25689
30,big,12957
30,big,3164
30,big,24120
40,average,32896
40,average,9036
40,average,61973
40,average,31592
40,average,7904
40,average,67706
40,average,28119
40,average,7149
40,average,65769
40,average,27328
40,small,8556
40,small,55025
40,small,28637
40,small,10049
40,small,54315
40,small,12363
40,small,11308
40,small,59864
40,small,30874
40,small,11675
40,big,64091
40,big,29954
40,big,12144
40,big,52439
40,big,31193
40,big,8817
40,big,49122
40,big,33031
40,big,7182
40,big,52183
50,average,57569
50,average,17234
50,average,115331
50,average,41738
50,average,14293
50,average,127761
50,average,55577
50,average,0
50,average,117263
50,average,48100
50,small,15172
50,small,127224
50,small,49028
50,small,19503
50,small,115689
50,small,49689
50,small,15361
50,small,122845
50,small,44787
50,small,19790
50,big,92598
50,big,40180
50,big,17216
50,big,122725
50,big,62979
50,big,13147
50,big,127612
50,big,50603
50,big,20081
50,big,116714
60,average,113316
60,average,17430
60,average,235708
60,average,119299
60,average,21021
60,average,191993
60,average,110779
60,average,24229
60,average,206166
60,average,100971
60,small,22604
60,small,226252
60,small,86224
60,small,29871
60,small,204699
60,small,121596
60,small,24343
60,small,221537
60,small,72716
60,small,32508
60,big,231686
60,big,98863
60,big,24283
60,big,209789
60,big,117085
60,big,29805
60,big,218302
60,big,113192
60,big,29328
60,big,236718
70,average,180830
70,average,43388
70,average,346849
70,average,149965
70,average,44919
70,average,275658
70,average,168349
70,average,43067
70,average,333841
70,average,154990
70,small,23808
70,small,360630
70,small,143614
70,small,34379
70,small,309298
70,small,124972
70,small,65185
70,small,366352
70,small,146258
70,small,46401
70,big,299478
70,big,152920
70,big,34589
70,big,382984
70,big,150867
70,big,28809
70,big,321866
70,big,186787
70,big,37102
70,big,354135
80,average,243707
80,average,71487
80,average,458064
80,average,224451
80,average,82068
80,average,555570
80,average,229097
80,average,43735
80,average,520370
80,average,170706
80,small,62362
80,small,519587
80,small,249158
80,small,63586
80,small,524972
80,small,239207
80,small,75832
80,small,531145
80,small,249311
80,small,78862
80,big,527759
80,big,222504
80,big,46688
80,big,466082
80,big,299843
80,big,74456
80,big,547101
80,big,257609
80,big,68422
80,big,493608
90,average,383871
90,average,53487
90,average,783696
90,average,345558
90,average,107693
90,average,764633
90,average,355512
90,average,84734
90,average,634742
90,average,393489
90,small,88296
90,small,726241
90,small,404711
90,small,88495
90,small,782698
90,small,390363
90,small,65338
90,small,823895
90,small,416974
90,small,102464
90,big,744235
90,big,370442
90,big,81449
90,big,844488
90,big,387107
90,big,96859
90,big,809652
90,big,294298
90,big,90746
90,big,686047
100,average,471717
100,average,124375
100,average,1035931
100,average,457288
100,average,102932
100,average,1161766
100,average,465288
100,average,100963
100,average,831645
100,average,518649
100,small,112091
100,small,1064950
100,small,499223
100,small,127852
100,small,1050566
100,small,591046
100,small,122050
100,small,979317
100,small,382785
100,small,117769
100,big,1178998
100,big,432628
100,big,129710
100,big,1077933
100,big,494941
100,big,115047
100,big,1138108
100,big,489416
100,big,132133
100,big,1008962
