vertices_number,edges_number,used_edges_number
10,average,0
10,average,0
10,average,0
10,average,0
10,average,0
10,average,0
10,average,0
10,average,0
10,average,0
10,average,0
10,small,0
10,small,0
10,small,0
10,small,0
10,small,0
10,small,0
10,small,0
10,small,0
10,small,0
10,small,0
10,big,0
10,big,0
10,big,0
10,big,0
10,big,0
10,big,0
10,big,0
10,big,0
10,big,0
10,big,0
20,average,0
20,average,0
20,average,0
20,average,0
20,average,0
20,average,0
20,average,0
20,average,0
20,average,0
20,average,0
20,small,0
20,small,0
20,small,0
20,small,0
20,small,0
20,small,0
20,small,0
20,small,0
20,small,0
20,small,0
20,big,0
20,big,0
20,big,0
20,big,0
20,big,0
20,big,0
20,big,0
20,big,0
20,big,0
20,big,0
30,average,0
30,average,0
30,average,0
30,average,0
30,average,0
30,average,0
30,average,0
30,average,0
30,average,0
30,average,0
30,small,0
30,small,0
30,small,0
30,small,0
30,small,0
30,small,0
30,small,0
30,small,0
30,small,0
30,small,0
30,big,0
30,big,0
30,big,0
30,big,0
30,big,0
30,big,0
30,big,0
30,big,0
30,big,0
30,big,0
40,average,0
40,average,0
40,average,0
40,average,0
40,average,0
40,average,0
40,average,0
40,average,0
40,average,0
40,average,0
40,small,0
40,small,0
40,small,0
40,small,0
40,small,0
40,small,0
40,small,0
40,small,0
40,small,0
40,small,0
40,big,0
40,big,0
40,big,0
40,big,0
40,big,0
40,big,0
40,big,0
40,big,0
40,big,0
40,big,0
50,average,0
50,average,0
50,average,0
50,average,0
50,average,0
50,average,0
50,average,0
50,average,0
50,average,0
50,average,0
50,small,0
50,small,0
50,small,0
50,small,0
50,small,0
50,small,0
50,small,0
50,small,0
50,small,0
50,small,0
50,big,0
50,big,0
50,big,0
50,big,0
50,big,0
50,big,0
50,big,0
50,big,0
50,big,0
50,big,0
60,average,0
60,average,0
60,average,0
60,average,0
60,average,0
60,average,0
60,average,0
60,average,0
60,average,0
60,average,0
60,small,0
60,small,0
60,small,0
60,small,0
60,small,0
60,small,0
60,small,0
60,small,0
60,small,0
60,small,0
60,big,0
60,big,0
60,big,0
60,big,0
60,big,0
60,big,0
60,big,0
60,big,0
60,big,0
60,big,0
70,average,0
70,average,0
70,average,0
70,average,0
70,average,0
70,average,0
70,average,0
70,average,0
70,average,0
70,average,0
70,small,0
70,small,0
70,small,0
70,small,0
70,small,0
70,small,0
70,small,0
70,small,0
70,small,0
70,small,0
70,big,0
70,big,0
70,big,0
70,big,0
70,big,0
70,big,0
70,big,0
70,big,0
70,big,0
70,big,0
80,average,0
80,average,0
80,average,0
80,average,0
80,average,0
80,average,0
80,average,0
80,average,0
80,average,0
80,average,0
80,small,0
80,small,0
80,small,0
80,small,0
80,small,0
80,small,0
80,small,0
80,small,0
80,small,0
80,small,0
80,big,0
80,big,0
80,big,0
80,big,0
80,big,0
80,big,0
80,big,0
80,big,0
80,big,0
80,big,0
90,average,0
90,average,0
90,average,0
90,average,0
90,average,0
90,average,0
90,average,0
90,average,0
90,average,0
90,average,0
90,small,0
90,small,0
90,small,0
90,small,0
90,small,0
90,small,0
90,small,0
90,small,0
90,small,0
90,small,0
90,big,0
90,big,0
90,big,0
90,big,0
90,big,0
90,big,0
90,big,0
90,big,0
90,big,0
90,big,0
100,average,0
100,average,0
100,average,0
100,average,0
100,average,0
100,average,0
100,average,0
100,average,0
100,average,0
100,average,0
100,small,0
100,small,0
100,small,0
100,small,0
100,small,0
100,small,0
100,small,0
100,small,0
100,small,0
100,small,0
100,big,0
100,big,0
100,big,0
100,big,0
100,big,0
100,big,0
100,big,0
100,big,0
100,big,0
