vertices_number,edges_number,used_edges_number
10,average,210
10,average,84
10,average,510
10,average,268
10,average,78
10,average,267
10,average,200
10,average,57
10,average,451
10,average,242
10,small,27
10,small,233
10,small,150
10,small,0
10,small,639
10,small,183
10,small,17
10,small,486
10,small,71
10,small,117
10,big,329
10,big,236
10,big,85
10,big,444
10,big,343
10,big,57
10,big,285
10,big,160
10,big,70
10,big,506
20,average,3129
20,average,366
20,average,5356
20,average,1842
20,average,878
20,average,4991
20,average,3597
20,average,1044
20,average,5682
20,average,3267
20,small,282
20,small,6049
20,small,2796
20,small,1293
20,small,6201
20,small,4199
20,small,623
20,small,5345
20,small,3900
20,small,1188
20,big,4997
20,big,1922
20,big,1290
20,big,6044
20,big,3155
20,big,0
20,big,5731
20,big,2505
20,big,415
20,big,3995
30,average,12403
30,average,4408
30,average,22900
30,average,13239
30,average,1816
30,average,23697
30,average,14382
30,average,2135
30,average,20893
30,average,9040
30,small,1052
30,small,25632
30,small,9798
30,small,3070
30,small,20168
30,small,7998
30,small,3325
30,small,21475
30,small,9875
30,small,2271
30,big,17226
30,big,5919
30,big,4030
30,big,20588
30,big,10962
30,big,3019
30,big,24026
30,big,10665
30,big,2991
30,big,19595
40,average,27339
40,average,7636
40,average,64712
40,average,22706
40,average,7578
40,average,63537
40,average,29901
40,average,5417
40,average,49903
40,average,25411
40,small,6433
40,small,45522
40,small,31310
40,small,7916
40,small,58012
40,small,30372
40,small,4940
40,small,55403
40,small,30127
40,small,10683
40,big,64465
40,big,27128
40,big,8737
40,big,58575
40,big,29754
40,big,6689
40,big,61582
40,big,28998
40,big,3050
40,big,51096
50,average,56300
50,average,9736
50,average,126387
50,average,36055
50,average,20695
50,average,108980
50,average,67520
50,average,13387
50,average,110457
50,average,61394
50,small,10250
50,small,124610
50,small,59516
50,small,14455
50,small,118902
50,small,50647
50,small,13905
50,small,140504
50,small,58210
50,small,12455
50,big,129061
50,big,50230
50,big,12010
50,big,132083
50,big,62907
50,big,24878
50,big,119444
50,big,50808
50,big,21029
50,big,105627
60,average,107590
60,average,30878
60,average,226511
60,average,87536
60,average,23169
60,average,199325
60,average,77729
60,average,31690
60,average,216366
60,average,83182
60,small,31835
60,small,199446
60,small,72574
60,small,27495
60,small,189763
60,small,110352
60,small,35060
60,small,226143
60,small,97274
60,small,32894
60,big,247763
60,big,91028
60,big,32022
60,big,228303
60,big,110674
60,big,26112
60,big,202314
60,big,98901
60,big,27728
60,big,192615
70,average,116320
70,average,36906
70,average,372651
70,average,127911
70,average,50081
70,average,389574
70,average,136506
70,average,43993
70,average,355976
70,average,185092
70,small,50868
70,small,366405
70,small,159859
70,small,41415
70,small,323535
70,small,160612
70,small,39178
70,small,359990
70,small,154634
70,small,32026
70,big,296009
70,big,175128
70,big,35485
70,big,363407
70,big,150735
70,big,47711
70,big,346379
70,big,150287
70,big,46092
70,big,366871
80,average,228569
80,average,64464
80,average,519994
80,average,243157
80,average,59039
80,average,502168
80,average,245845
80,average,77646
80,average,481376
80,average,212010
80,small,60118
80,small,615087
80,small,228464
80,small,74337
80,small,577260
80,small,263865
80,small,62478
80,small,567942
80,small,231567
80,small,66648
80,big,561701
80,big,303150
80,big,56589
80,big,502867
80,big,278766
80,big,95232
80,big,514450
80,big,213028
80,big,86021
80,big,530141
90,average,340484
90,average,110699
90,average,730752
90,average,313825
90,average,125560
90,average,771970
90,average,374742
90,average,80927
90,average,784462
90,average,350879
90,small,105089
90,small,805800
90,small,385652
90,small,85052
90,small,646646
90,small,402995
90,small,69321
90,small,760261
90,small,329396
90,small,75511
90,big,708807
90,big,394580
90,big,92721
90,big,714163
90,big,346010
90,big,104556
90,big,651893
90,big,271980
90,big,78824
90,big,868622
100,average,412512
100,average,158957
100,average,1102237
100,average,530347
100,average,161307
100,average,1008480
100,average,512081
100,average,117604
100,average,1015599
100,average,554791
100,small,141878
100,small,1093917
100,small,490170
100,small,137206
100,small,1079136
100,small,414183
100,small,98205
100,small,1001007
100,small,498281
100,small,122515
100,big,1087463
100,big,535253
100,big,170304
100,big,1078201
100,big,502927
100,big,158495
100,big,1001041
100,big,461789
100,big,114850
100,big,994024
