vertices_number,edges_number,used_edges_number
10,average,180
10,average,37
10,average,291
10,average,238
10,average,39
10,average,595
10,average,183
10,average,78
10,average,322
10,average,189
10,small,62
10,small,356
10,small,102
10,small,49
10,small,630
10,small,63
10,small,25
10,small,451
10,small,138
10,small,37
10,big,414
10,big,203
10,big,59
10,big,546
10,big,236
10,big,56
10,big,435
10,big,125
10,big,21
10,big,455
20,average,3077
20,average,460
20,average,4248
20,average,3179
20,average,783
20,average,6214
20,average,1563
20,average,801
20,average,5882
20,average,2415
20,small,1350
20,small,4690
20,small,2253
20,small,1128
20,small,5632
20,small,2290
20,small,465
20,small,5405
20,small,2720
20,small,610
20,big,4323
20,big,2064
20,big,279
20,big,4272
20,big,1330
20,big,774
20,big,6944
20,big,845
20,big,549
20,big,5309
30,average,8775
30,average,1480
30,average,21394
30,average,13461
30,average,3514
30,average,17358
30,average,10555
30,average,3764
30,average,20641
30,average,12604
30,small,5608
30,small,22301
30,small,6392
30,small,4240
30,small,24553
30,small,14493
30,small,4711
30,small,23493
30,small,8453
30,small,3135
30,big,18906
30,big,13384
30,big,2454
30,big,22380
30,big,10237
30,big,5540
30,big,25644
30,big,12923
30,big,3149
30,big,24078
40,average,32850
40,average,10109
40,average,61915
40,average,31548
40,average,7883
40,average,67642
40,average,28784
40,average,7130
40,average,65707
40,average,27290
40,small,8533
40,small,51864
40,small,28597
40,small,10022
40,small,54264
40,small,12346
40,small,11278
40,small,59830
40,small,30831
40,small,12025
40,big,64031
40,big,29912
40,big,11744
40,big,52390
40,big,31150
40,big,8793
40,big,49076
40,big,32985
40,big,7527
40,big,52134
50,average,57519
50,average,18366
50,average,115263
50,average,41702
50,average,14269
50,average,127686
50,average,55529
50,average,12595
50,average,117194
50,average,48058
50,small,15147
50,small,123813
50,small,48985
50,small,19470
50,small,115622
50,small,49646
50,small,15335
50,small,122817
50,small,44748
50,small,19757
50,big,92544
50,big,40145
50,big,14867
50,big,122653
50,big,62924
50,big,13125
50,big,127537
50,big,50559
50,big,21762
50,big,116645
60,average,113248
60,average,17410
60,average,235613
60,average,111003
60,average,20997
60,average,191916
60,average,110713
60,average,24201
60,average,206083
60,average,100911
60,small,22578
60,small,226161
60,small,86173
60,small,29837
60,small,204617
60,small,121523
60,small,24315
60,small,221448
60,small,72673
60,small,32470
60,big,231593
60,big,98804
60,big,24255
60,big,209705
60,big,117015
60,big,29771
60,big,218214
60,big,113124
60,big,29294
60,big,236625
70,average,180752
70,average,43352
70,average,346748
70,average,158988
70,average,44881
70,average,275578
70,average,168276
70,average,43031
70,average,333744
70,average,154923
70,small,23788
70,small,360525
70,small,143552
70,small,34350
70,small,309208
70,small,129479
70,small,65130
70,small,366245
70,small,146195
70,small,46362
70,big,299391
70,big,152854
70,big,35736
70,big,382872
70,big,150802
70,big,28785
70,big,311650
70,big,186706
70,big,37071
70,big,354032
80,average,246617
80,average,73009
80,average,457963
80,average,224377
80,average,82015
80,average,555447
80,average,229022
80,average,43707
80,average,520255
80,average,170650
80,small,62322
80,small,519472
80,small,249076
80,small,63545
80,small,524856
80,small,239128
80,small,75783
80,small,531028
80,small,249229
80,small,78811
80,big,532127
80,big,222431
80,big,48199
80,big,465979
80,big,299744
80,big,74456
80,big,546980
80,big,257524
80,big,68378
80,big,493499
90,average,383772
90,average,53460
90,average,783560
90,average,345469
90,average,107638
90,average,764500
90,average,355420
90,average,84691
90,average,634632
90,average,393387
90,small,88251
90,small,726115
90,small,416016
90,small,88450
90,small,782562
90,small,390262
90,small,65305
90,small,823752
90,small,416866
90,small,102412
90,big,744106
90,big,370346
90,big,81408
90,big,844341
90,big,387007
90,big,96810
90,big,809511
90,big,294222
90,big,90700
90,big,685928
100,average,471619
100,average,124324
100,average,1035786
100,average,457193
100,average,102890
100,average,1161603
100,average,465191
100,average,100922
100,average,831529
100,average,518541
100,small,112045
100,small,1064801
100,small,499119
100,small,127800
100,small,1050419
100,small,590923
100,small,122000
100,small,979180
100,small,382705
100,small,117721
100,big,1178833
100,big,432538
100,big,129657
100,big,1077782
100,big,494838
100,big,115000
100,big,1137949
100,big,489314
100,big,132079
100,big,1008821
