vertices_number,edges_number,used_edges_number
10,average,217
10,average,84
10,average,510
10,average,277
10,average,62
10,average,308
10,average,206
10,average,57
10,average,559
10,average,216
10,small,27
10,small,233
10,small,150
10,small,54
10,small,674
10,small,189
10,small,13
10,small,451
10,small,73
10,small,123
10,big,380
10,big,236
10,big,90
10,big,444
10,big,354
10,big,60
10,big,285
10,big,160
10,big,70
10,big,506
20,average,3002
20,average,549
20,average,5579
20,average,1998
20,average,888
20,average,5247
20,average,3597
20,average,1056
20,average,5453
20,average,3296
20,small,378
20,small,6703
20,small,2822
20,small,1376
20,small,6196
20,small,4199
20,small,623
20,small,6237
20,small,3618
20,small,1360
20,big,5676
20,big,1933
20,big,1306
20,big,6060
20,big,3175
20,big,913
20,big,5313
20,big,2655
20,big,419
20,big,4442
30,average,12040
30,average,4244
30,average,24524
30,average,12867
30,average,2023
30,average,23115
30,average,13992
30,average,2145
30,average,19204
30,average,8647
30,small,1477
30,small,27791
30,small,10184
30,small,3484
30,small,19049
30,small,9582
30,small,3541
30,small,22614
30,small,10263
30,small,2868
30,big,18909
30,big,6321
30,big,3857
30,big,21163
30,big,10205
30,big,3034
30,big,25728
30,big,10655
30,big,3418
30,big,19593
40,average,26606
40,average,8043
40,average,64708
40,average,22026
40,average,6838
40,average,62551
40,average,29214
40,average,5050
40,average,52022
40,average,28286
40,small,6450
40,small,42470
40,small,30015
40,small,7935
40,small,54998
40,small,31128
40,small,5322
40,small,55415
40,small,28004
40,small,10013
40,big,62395
40,big,27822
40,big,8768
40,big,58504
40,big,26310
40,big,5970
40,big,61610
40,big,31138
40,big,3058
40,big,48996
50,average,61868
50,average,10935
50,average,123155
50,average,36083
50,average,19595
50,average,110606
50,average,71949
50,average,13408
50,average,103754
50,average,59219
50,small,10267
50,small,119586
50,small,61727
50,small,14472
50,small,122214
50,small,49565
50,small,15105
50,small,128961
50,small,51437
50,small,12448
50,big,115673
50,big,46899
50,big,11408
50,big,118888
50,big,61856
50,big,22579
50,big,121099
50,big,58691
50,big,21618
50,big,109001
60,average,110858
60,average,30037
60,average,224194
60,average,87542
60,average,24022
60,average,199457
60,average,72779
60,average,31668
60,average,221313
60,average,94691
60,small,34397
60,small,197102
60,small,70924
60,small,25794
60,small,204606
60,small,107066
60,small,36806
60,small,243247
60,small,98945
60,small,32162
60,big,257546
60,big,87566
60,big,32932
60,big,235758
60,big,109040
60,big,27814
60,big,202257
60,big,100574
60,big,26908
60,big,192601
70,average,116434
70,average,39280
70,average,369476
70,average,137132
70,average,51339
70,average,365863
70,average,127383
70,average,46345
70,average,322241
70,average,171387
70,small,52061
70,small,376462
70,small,153153
70,small,37944
70,small,330451
70,small,149149
70,small,40328
70,small,359901
70,small,159215
70,small,32053
70,big,299500
70,big,190882
70,big,30832
70,big,356475
70,big,129959
70,big,46587
70,big,342896
70,big,163880
70,big,46135
70,big,360239
80,average,222514
80,average,62980
80,average,546439
80,average,234159
80,average,62173
80,average,497598
80,average,251851
80,average,80796
80,average,481472
80,average,212029
80,small,52516
80,small,592633
80,small,231483
80,small,83516
80,small,581844
80,small,251999
80,small,60990
80,small,558964
80,small,222655
80,small,66659
80,big,583971
80,big,306024
80,big,62819
80,big,494033
80,big,257991
80,big,93670
80,big,505671
80,big,228098
80,big,87656
80,big,520994
90,average,321432
90,average,108701
90,average,736445
90,average,313813
90,average,119802
90,average,771736
90,average,359266
90,average,90757
90,average,733017
90,average,377675
90,small,116910
90,small,817214
90,small,385498
90,small,90918
90,small,692138
90,small,399149
90,small,67410
90,small,760489
90,small,340767
90,small,69603
90,big,702972
90,big,394710
90,big,83055
90,big,782663
90,big,318851
90,big,108583
90,big,663421
90,big,271982
90,big,76951
90,big,834435
100,average,407863
100,average,158861
100,average,1080665
100,average,521209
100,average,144442
100,average,1037068
100,average,450481
100,average,110369
100,average,937811
100,average,536077
100,small,132315
100,small,1037009
100,small,509499
100,small,125014
100,small,1036660
100,small,428466
100,small,110466
100,small,1007900
100,small,493682
100,small,110252
100,big,1030960
100,big,516284
100,big,175286
100,big,1113761
100,big,479089
100,big,170686
100,big,951362
100,big,452264
100,big,124639
100,big,1001225
