vertices_number,edges_number,used_edges_number
10,average,385
10,average,107
10,average,677
10,average,448
10,average,80
10,average,476
10,average,242
10,average,75
10,average,646
10,average,426
10,small,62
10,small,354
10,small,220
10,small,51
10,small,850
10,small,308
10,small,58
10,small,616
10,small,176
10,small,141
10,big,575
10,big,342
10,big,125
10,big,804
10,big,431
10,big,101
10,big,476
10,big,215
10,big,90
10,big,637
20,average,3354
20,average,515
20,average,6463
20,average,2570
20,average,1251
20,average,6516
20,average,4071
20,average,1245
20,average,6325
20,average,3550
20,small,406
20,small,7573
20,small,3094
20,small,1481
20,small,7096
20,small,4990
20,small,898
20,small,7012
20,small,3992
20,small,1478
20,big,5774
20,big,2161
20,big,1423
20,big,7309
20,big,3888
20,big,1062
20,big,6799
20,big,2879
20,big,479
20,big,6545
30,average,14458
30,average,5018
30,average,27050
30,average,14161
30,average,2233
30,average,27730
30,average,13985
30,average,2285
30,average,21734
30,average,9373
30,small,1828
30,small,30625
30,small,10926
30,small,3932
30,small,22454
30,small,10519
30,small,3762
30,small,24774
30,small,12190
30,small,3106
30,big,22194
30,big,6849
30,big,4085
30,big,24144
30,big,11367
30,big,3314
30,big,27624
30,big,12256
30,big,3562
30,big,22187
40,average,26640
40,average,8421
40,average,69115
40,average,22909
40,average,6758
40,average,66091
40,average,31642
40,average,5258
40,average,58354
40,average,29060
40,small,6790
40,small,45934
40,small,32557
40,small,8829
40,small,61437
40,small,34799
40,small,5602
40,small,59689
40,small,26536
40,small,11098
40,big,69412
40,big,29344
40,big,9205
40,big,66242
40,big,29525
40,big,6386
40,big,67212
40,big,31949
40,big,3242
40,big,53996
50,average,64622
50,average,11313
50,average,129068
50,average,37633
50,average,20354
50,average,120963
50,average,76243
50,average,13230
50,average,111755
50,average,65470
50,small,10573
50,small,124416
50,small,66699
50,small,14983
50,small,131232
50,small,51844
50,small,15730
50,small,136535
50,small,56493
50,small,13057
50,big,129653
50,big,49277
50,big,11845
50,big,124487
50,big,65893
50,big,24146
50,big,131065
50,big,56458
50,big,22302
50,big,111796
60,average,114686
60,average,30454
60,average,231664
60,average,88893
60,average,26027
60,average,209198
60,average,80316
60,average,33689
60,average,231608
60,average,102333
60,small,35797
60,small,219561
60,small,78341
60,small,30368
60,small,224324
60,small,111290
60,small,38354
60,small,257112
60,small,107632
60,small,32939
60,big,259580
60,big,88719
60,big,34034
60,big,249740
60,big,117956
60,big,28678
60,big,216928
60,big,107593
60,big,27931
60,big,211801
70,average,122116
70,average,41607
70,average,388307
70,average,143210
70,average,52672
70,average,388151
70,average,133534
70,average,48909
70,average,342460
70,average,189912
70,small,53645
70,small,391929
70,small,161638
70,small,39192
70,small,347232
70,small,156225
70,small,41450
70,small,374640
70,small,163631
70,small,34206
70,big,314930
70,big,196360
70,big,34267
70,big,367060
70,big,148212
70,big,47757
70,big,360361
70,big,164018
70,big,51011
70,big,370870
80,average,236776
80,average,64180
80,average,560596
80,average,255901
80,average,65508
80,average,533603
80,average,264381
80,average,82616
80,average,502215
80,average,239836
80,small,54148
80,small,615946
80,small,246234
80,small,85725
80,small,611454
80,small,258556
80,small,60891
80,small,583728
80,small,228130
80,small,68207
80,big,598161
80,big,313801
80,big,64179
80,big,510832
80,big,264536
80,big,95410
80,big,551728
80,big,236727
80,big,86144
80,big,538267
90,average,332672
90,average,110846
90,average,765644
90,average,320536
90,average,122913
90,average,807559
90,average,378952
90,average,92965
90,average,766642
90,average,387317
90,small,103342
90,small,812319
90,small,398898
90,small,97126
90,small,720065
90,small,407286
90,small,69042
90,small,795926
90,small,348335
90,small,71108
90,big,760453
90,big,403176
90,big,87109
90,big,806447
90,big,336833
90,big,119161
90,big,684445
90,big,277863
90,big,80945
90,big,859537
100,average,426683
100,average,159535
100,average,1102560
100,average,532763
100,average,152076
100,average,1044365
100,average,461009
100,average,112574
100,average,963914
100,average,561874
100,small,134691
100,small,1080149
100,small,533723
100,small,127513
100,small,1073015
100,small,436298
100,small,112671
100,small,1044512
100,small,523288
100,small,112367
100,big,1031113
100,big,526868
100,big,178382
100,big,1158304
100,big,484639
100,big,174186
100,big,985906
100,big,460818
100,big,122243
100,big,1043443
