vertices_number,edges_number,used_edges_number
10,average,190
10,average,100
10,average,290
10,average,41
10,average,405
10,average,315
10,average,57
10,average,595
10,average,322
10,average,140
10,small,425
10,small,134
10,small,43
10,small,245
10,small,215
10,small,34
10,small,396
10,small,297
10,small,19
10,small,372
10,big,32
10,big,277
10,big,282
10,big,0
10,big,324
10,big,177
10,big,78
10,big,440
10,big,3035
10,big,616
20,average,5574
20,average,2568
20,average,1831
20,average,5866
20,average,2727
20,average,934
20,average,4311
20,average,2777
20,average,748
20,average,1435
20,small,366
20,small,4518
20,small,2871
20,small,865
20,small,6187
20,small,3509
20,small,978
20,small,5379
20,small,2267
20,small,951
20,big,4315
20,big,1715
20,big,181
20,big,6474
20,big,2125
20,big,1496
20,big,5830
20,big,6724
20,big,2466
20,big,27925
30,average,8878
30,average,2891
30,average,23453
30,average,10977
30,average,1318
30,average,22136
30,average,10000
30,average,2749
30,average,27595
30,average,11651
30,small,3442
30,small,21344
30,small,10221
30,small,4038
30,small,23308
30,small,9943
30,small,5313
30,small,23577
30,small,8337
30,small,4558
30,big,23504
30,big,13621
30,big,2061
30,big,23989
30,big,11235
30,big,854
30,big,24593
30,big,34866
30,big,6910
30,big,66795
40,average,30787
40,average,3456
40,average,65270
40,average,29698
40,average,8022
40,average,64942
40,average,18243
40,average,7949
40,average,60348
40,average,35531
40,small,3483
40,small,62253
40,small,24476
40,small,9659
40,small,56278
40,small,25175
40,small,6200
40,small,50008
40,small,28105
40,small,6830
40,big,53339
40,big,34325
40,big,6707
40,big,46910
40,big,33591
40,big,6398
40,big,62317
40,big,50648
40,big,11342
40,big,124029
50,average,54226
50,average,16586
50,average,92209
50,average,54285
50,average,14387
50,average,96103
50,average,55659
50,average,11888
50,average,110696
50,average,61690
50,small,18061
50,small,110899
50,small,67587
50,small,17266
50,small,129189
50,small,67824
50,small,16797
50,small,129298
50,small,67606
50,small,10836
50,big,92589
50,big,44752
50,big,10697
50,big,117369
50,big,61977
50,big,13161
50,big,128071
50,big,99066
50,big,20147
50,big,211190
60,average,93826
60,average,21875
60,average,218814
60,average,82391
60,average,25093
60,average,224450
60,average,96836
60,average,29381
60,average,230621
60,average,113416
60,small,33600
60,small,206523
60,small,113478
60,small,24206
60,small,245107
60,small,115128
60,small,25201
60,small,218968
60,small,75622
60,small,18189
60,big,211890
60,big,73887
60,big,31142
60,big,219051
60,big,74986
60,big,21850
60,big,235497
60,big,127567
60,big,34452
60,big,312946
70,average,182480
70,average,46104
70,average,330819
70,average,163773
70,average,35906
70,average,349638
70,average,125268
70,average,52059
70,average,356818
70,average,177284
70,small,33564
70,small,306368
70,small,168224
70,small,27493
70,small,295396
70,small,106501
70,small,47412
70,small,349056
70,small,151983
70,small,38055
70,big,339941
70,big,158570
70,big,52826
70,big,332826
70,big,163926
70,big,43880
70,big,329390
70,big,252041
70,big,71233
70,big,499816
80,average,222310
80,average,56025
80,average,515606
80,average,278834
80,average,89496
80,average,529381
80,average,296649
80,average,57421
80,average,569268
80,average,215966
80,small,32726
80,small,614061
80,small,338885
80,small,73095
80,small,528744
80,small,264891
80,small,73688
80,small,595089
80,small,233287
80,small,54810
80,big,505584
80,big,254366
80,big,43472
80,big,528453
80,big,171610
80,big,66942
80,big,470678
80,big,371204
80,big,81212
80,big,702421
90,average,382716
90,average,81801
90,average,806304
90,average,351442
90,average,121019
90,average,756148
90,average,355849
90,average,75416
90,average,708705
90,average,317322
90,small,80884
90,small,663140
90,small,375481
90,small,79324
90,small,748463
90,small,385192
90,small,104420
90,small,742935
90,small,347818
90,small,102793
90,big,736593
90,big,408402
90,big,118045
90,big,635003
90,big,421248
90,big,102907
90,big,810709
90,big,413155
90,big,134340
90,big,1001400
100,average,575021
100,average,137220
100,average,1021788
100,average,524686
100,average,124907
100,average,1002611
100,average,469550
100,average,146355
100,average,1191533
100,average,464397
100,small,115482
100,small,893929
100,small,494979
100,small,139461
100,small,945248
100,small,446577
100,small,110433
100,small,1044476
100,small,436086
100,small,141974
100,big,965497
100,big,442555
100,big,165928
100,big,995393
100,big,498885
100,big,158182
100,big,1064674
