vertices_number,edges_number,used_edges_number
10,average,282
10,average,39
10,average,291
10,average,180
10,average,41
10,average,534
10,average,160
10,average,78
10,average,367
10,average,195
10,small,37
10,small,322
10,small,138
10,small,49
10,small,546
10,small,65
10,small,61
10,small,387
10,small,105
10,small,41
10,big,506
10,big,206
10,big,122
10,big,402
10,big,244
10,big,45
10,big,445
10,big,189
10,big,22
10,big,465
20,average,2943
20,average,460
20,average,4924
20,average,3026
20,average,780
20,average,7082
20,average,1745
20,average,630
20,average,5919
20,average,2430
20,small,1098
20,small,4935
20,small,2577
20,small,1066
20,small,5656
20,small,1969
20,small,555
20,small,4954
20,small,2737
20,small,441
20,big,5018
20,big,2077
20,big,249
20,big,3831
20,big,1338
20,big,774
20,big,6331
20,big,845
20,big,549
20,big,5556
30,average,9982
30,average,1686
30,average,20850
30,average,15270
30,average,3496
30,average,18510
30,average,10923
30,average,3553
30,average,20647
30,average,12235
30,small,6161
30,small,22289
30,small,7581
30,small,4240
30,small,24574
30,small,14803
30,small,4312
30,small,21831
30,small,7666
30,small,3150
30,big,18397
30,big,11884
30,big,2663
30,big,23520
30,big,9079
30,big,5562
30,big,27817
30,big,11837
30,big,2743
30,big,24154
40,average,27950
40,average,8648
40,average,61878
40,average,28096
40,average,7165
40,average,70883
40,average,28838
40,average,7125
40,average,59571
40,average,28034
40,small,8533
40,small,58134
40,small,27208
40,small,8947
40,small,51176
40,small,12346
40,small,12041
40,small,61943
40,small,33648
40,small,14168
40,big,65080
40,big,28534
40,big,11734
40,big,51384
40,big,30433
40,big,8796
40,big,44916
40,big,32938
40,big,7163
40,big,54233
50,average,57520
50,average,16629
50,average,115306
50,average,34857
50,average,14260
50,average,127802
50,average,52205
50,average,11438
50,average,123913
50,average,50337
50,small,16362
50,small,130520
50,small,50092
50,small,17168
50,small,117362
50,small,51958
50,small,17008
50,small,127849
50,small,45858
50,small,19241
50,big,87547
50,big,41265
50,big,17171
50,big,121102
50,big,60723
50,big,12537
50,big,140847
50,big,43771
50,big,20660
50,big,115017
60,average,121452
60,average,17410
60,average,230863
60,average,114163
60,average,21001
60,average,192089
60,average,112434
60,average,25881
60,average,211018
60,average,102592
60,small,24318
60,small,208945
60,small,69538
60,small,31626
60,small,204686
60,small,115022
60,small,26020
60,small,228690
60,small,79386
60,small,32468
60,big,219490
60,big,90505
60,big,31035
60,big,209716
60,big,113755
60,big,28872
60,big,211043
60,big,111462
60,big,28466
60,big,239141
70,average,169253
70,average,44545
70,average,336621
70,average,177084
70,average,40227
70,average,282354
70,average,147840
70,average,46604
70,average,326953
70,average,145767
70,small,29725
70,small,380782
70,small,132098
70,small,32008
70,small,312682
70,small,138704
70,small,59250
70,small,359439
70,small,132394
70,small,45175
70,big,306371
70,big,148454
70,big,31022
70,big,375953
70,big,141725
70,big,28785
70,big,332135
70,big,188929
70,big,34693
70,big,364289
80,average,249768
80,average,72931
80,average,480526
80,average,227368
80,average,80574
80,average,532866
80,average,237990
80,average,42183
80,average,533631
80,average,164633
80,small,65442
80,small,541890
80,small,221958
80,small,60506
80,small,547311
80,small,242221
80,small,74205
80,small,553279
80,small,246069
80,small,75759
80,big,545534
80,big,240520
80,big,42028
80,big,470619
80,big,285045
80,big,66766
80,big,515612
80,big,257287
80,big,70010
80,big,493618
90,average,391320
90,average,59349
90,average,806022
90,average,353111
90,average,109585
90,average,707674
90,average,351540
90,average,86643
90,average,629330
90,average,412492
90,small,84407
90,small,714864
90,small,374104
90,small,98317
90,small,793978
90,small,375066
90,small,75138
90,small,829756
90,small,416696
90,small,104432
90,big,755889
90,big,389752
90,big,79458
90,big,782207
90,big,371808
90,big,90879
90,big,752561
90,big,271175
90,big,88795
90,big,697515
100,average,481267
100,average,131590
100,average,957908
100,average,447771
100,average,102932
100,average,1140512
100,average,484128
100,average,100932
100,average,817325
100,average,494903
100,small,107263
100,small,1015482
100,small,532298
100,small,125460
100,small,1036094
100,small,576765
100,small,126951
100,small,993618
100,small,382794
100,small,100612
100,big,1192885
100,big,437218
100,big,129673
100,big,1070307
100,big,494694
100,big,114935
100,big,1109490
100,big,513343
100,big,137004
100,big,966326
