vertices_number,edges_number,algorithm_ADD_VERTEX,algorithm_ADD_EDGE,algorithm_REMOVE_VERTEX,algorithm_REMOVE_EDGE,algorithm_UPDATE_WEIGHT,fulkerson_ADD_VERTEX,fulkerson_ADD_EDGE,fulkerson_REMOVE_VERTEX,fulkerson_REMOVE_EDGE,fulkerson_UPDATE_WEIGHT
10,average,0,259,259,252,252,405,259,259,252,252
10,average,0,75,72,49,49,84,75,72,49,49
10,average,0,450,450,441,441,585,450,450,441,441
10,average,0,225,225,185,150,322,225,225,185,150
10,average,0,45,45,39,39,84,45,45,39,39
10,average,0,539,539,528,528,875,539,539,528,528
10,average,0,0,252,213,245,278,185,185,213,213
10,average,0,97,92,74,92,159,97,92,74,92
10,average,0,633,633,660,660,920,633,633,660,660
10,average,0,218,218,212,212,320,218,218,212,212
10,small,0,65,82,25,25,135,65,82,25,25
10,small,0,578,578,566,566,930,582,582,570,570
10,small,0,238,238,231,231,322,238,238,231,231
10,small,0,117,111,111,111,196,117,111,111,111
10,small,0,539,539,528,528,819,539,539,528,528
10,small,0,243,243,237,237,279,243,243,237,237
10,small,0,75,49,72,72,57,75,49,72,72
10,small,0,450,450,441,441,643,450,450,441,441
10,small,0,324,324,284,284,484,324,324,284,284
10,small,0,156,148,133,133,204,156,148,133,133
10,big,0,350,350,343,343,645,350,350,343,343
10,big,0,207,238,201,201,364,175,238,170,170
10,big,0,94,70,90,109,115,94,70,90,109
10,big,0,528,606,388,388,815,528,606,388,388
10,big,0,270,262,141,141,439,270,262,141,141
10,big,0,7,11,7,7,40,7,11,7,7
10,big,0,501,501,491,491,700,501,501,491,491
10,big,0,249,249,242,242,319,249,249,242,242
10,big,0,65,62,62,62,135,65,62,62,62
10,big,0,561,561,550,550,984,561,561,550,550
20,average,0,2625,2610,2610,2610,2693,2455,2441,2441,2441
20,average,0,0,620,616,616,739,620,620,613,613
20,average,0,7425,7395,7395,7395,7962,6710,6683,6683,6683
20,average,0,4016,3992,3992,3992,4500,4482,4455,4455,4455
20,average,0,1157,1157,1145,1321,1240,1156,1156,1144,1321
20,average,0,5701,5701,5678,5678,7683,5707,5707,5684,5684
20,average,0,3311,3311,3291,3291,3597,3003,3003,2985,2985
20,average,0,372,368,368,368,535,372,368,368,368
20,average,0,6813,6813,6785,7026,8965,7497,7497,7466,7707
20,average,0,3479,3479,3459,3459,4127,3797,3797,3775,3775
20,small,0,651,644,644,644,535,561,555,555,555
20,small,0,5727,5727,5704,5940,7439,5718,5718,5695,5930
20,small,0,3087,3087,3069,3390,3429,3087,3087,3069,3384
20,small,0,1528,1511,1419,1414,1716,1446,1430,1337,1414
20,small,0,5775,5775,5752,5752,6117,5545,5545,5523,5523
20,small,0,3933,3933,3910,3910,4500,3933,3933,3910,3910
20,small,0,1034,1023,1023,756,1337,855,846,846,756
20,small,0,7781,7749,7749,7286,8462,7085,7056,7056,7760
20,small,0,4594,4594,4565,4565,4293,4156,4156,4130,4130
20,small,0,386,382,382,382,430,386,382,382,382
20,big,0,6671,6671,6644,6644,7941,6897,6897,6869,6869
20,big,0,3671,3649,3649,3649,4626,3980,3956,3956,3956
