"","Group.1","Group.2","algorithm_ADD_VERTEX","algorithm_ADD_EDGE","algorithm_REMOVE_VERTEX","algorithm_REMOVE_EDGE","algorithm_UPDATE_WEIGHT","fulkerson_ADD_VERTEX","fulkerson_ADD_EDGE","fulkerson_REMOVE_VERTEX","fulkerson_REMOVE_EDGE","fulkerson_UPDATE_WEIGHT"
"1",10,"average",0,254.1,278.5,265.3,266.8,403.2,272.6,271.8,265.3,263.6
"2",20,"average",0,3489.9,3544.6,3533.9,3575.6,4204.1,3579.9,3572.7,3561.4,3603.2
"3",30,"average",0,11427.5,11415.7,11402.7,11478.8,12999.9,11651.6,11639.1,11605.8,11563.9
"4",40,"average",0,32989.5,32971.3,32951.5,32951.5,37038,33657.8,33638.9,33547,33547
"5",50,"average",0,54543.4,66403.2,66362.9,66535.7,69779.8,64847.9,64838.4,64799.1,65030.9
"6",60,"average",0,119681.4,119561.9,119619.8,119619.8,126870.2,120086.6,119966.8,120024.9,120024.9
"7",70,"average",0,183152.2,182429.4,182738.4,182738.4,195947.7,186273.9,185897.1,185859.9,185859.9
"8",80,"average",0,270339.2,270313.2,269957,269957,273230.5,265640.1,265614.4,265568,265568
"9",90,"average",0,393225.4,393164.6,393138.6,393138.6,387730.5,377430.3,377371.2,377346.6,377346.6
"10",100,"average",0,569387.1,569117.2,569283.9,569761.5,587174.1,579862.7,579592.6,579757.8,580229.8
"11",10,"big",0,283.2,291,251.5,253.4,455.6,280,291,248.4,250.3
"12",20,"big",0,3547,3548.8,3522.9,3512.7,4196.8,3639.6,3651.1,3569.3,3569.3
"13",30,"big",0,14722.3,14705.5,14769.6,14866.8,16336.5,14619.9,14603.2,14472.9,14472.9
"14",40,"big",0,33411.7,33383,33374.1,33374.1,37227,34012.1,33981.9,33974.6,33868.5
"15",50,"big",0,68148,68140,68099.7,68099.7,71391.5,66928.1,66919.6,66880.4,66880.4
"16",60,"big",0,127730.2,127704.1,127667.8,127666,134473.8,126204.6,126178.4,126143.4,126885.3
"17",70,"big",0,200839.2,200796.4,200768.6,200768.6,211475.6,201210.4,201167,201139.7,201139.7
"18",80,"big",0,305520.5,305478.6,306650.1,307552.1,329757.3,311778.3,311735.7,313210.7,313210.9
"19",90,"big",0,444358.6,444327.9,443108.6,443108.6,447748.1,435930.5,435900.3,435064.7,435064.7
"20",100,"big",0,599604.6,599580,599501.5,601668.6,617301.8,599394.7,599370.2,599291.7,600715.3
"21",10,"small",0,278.5,276.2,262.8,262.8,406.9,278.9,276.6,263.2,263.2
"22",20,"small",0,3449.6,3442.5,3421.7,3403.9,3825.8,3277.2,3270.8,3250.3,3374.4
"23",30,"small",0,11686.8,11676.4,11662,11662,13506.5,12052.3,12041.9,12027.2,12027.3
"24",40,"small",0,27505.4,27281.8,27513,27762,30930.3,28533.8,28453.3,28649.7,28543.5
"25",50,"small",0,56139.7,56106.2,56096.1,56096.1,62529.9,59130.3,59096.1,59085,59144.8
"26",60,"small",0,114535.1,114491.2,114475.8,114810.3,120555.4,114123.6,114080.5,114064.7,114406.2
"27",70,"small",0,169573.5,169559.8,169509.1,169857.5,173827.2,168211.7,168197.6,168147.7,168147.7
"28",80,"small",0,270481.1,270464.1,270100.7,270100.9,286708.1,273976.7,273959.3,273897.7,274347.6
"29",90,"small",0,378158.1,378134.5,378070.7,378835.9,382103.8,371748.5,371725.1,371662.6,372835.7
"30",100,"small",0,509642.9,509592.6,507157.3,507157.3,525811.8,512723.8,512673.2,510469,510469
